M,N,K,BR_STRIDE,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
30,1,128,16,30,128,30,0,0,0.965664,30.2368
31,1,1,16,31,1,31,0,0,0.678864,27.0104
31,1,16,16,31,16,31,0,0,0.932235,31.4302
31,1,32,16,31,32,31,0,0,1.0213,30.5713
31,1,64,16,31,64,31,0,0,1.0149,30.2071
31,1,128,16,31,128,31,0,0,0.988358,28.107
32,1,1,16,32,1,32,0,0,0.933959,32.9252
32,1,16,16,32,16,32,0,0,0.918373,38.5735
32,1,32,16,32,32,32,0,0,1.01422,37.1022
32,1,64,16,32,64,32,0,0,1.0224,34.8843
32,1,128,16,32,128,32,0,0,1.00932,31.3546
33,1,1,16,33,1,33,0,0,0.714565,22.1895
33,1,16,16,33,16,33,0,0,0.917175,25.4094
33,1,32,16,33,32,33,0,0,1.00757,24.6913
33,1,64,16,33,64,33,0,0,1.00448,24.3928
33,1,128,16,33,128,33,0,0,1.03603,22.302
34,1,1,16,34,1,34,0,0,0.942859,23.0788
34,1,16,16,34,16,34,0,0,0.919189,28.2284
34,1,32,16,34,32,34,0,0,1.00302,26.5315
34,1,64,16,34,64,34,0,0,1.01062,25.4011
34,1,128,16,34,128,34,0,0,1.03621,22.9085
35,1,1,16,35,1,35,0,0,0.993419,22.5484
35,1,16,16,35,16,35,0,0,0.934912,27.7108
35,1,32,16,35,32,35,0,0,1.00671,26.6177
35,1,64,16,35,64,35,0,0,1.03675,24.7669
35,1,128,16,35,128,35,0,0,1.04731,22.6408
36,1,1,16,36,1,36,0,0,1.01847,24.6967
36,1,16,16,36,16,36,0,0,0.930991,29.8841
36,1,32,16,36,32,36,0,0,1.00326,28.0854
36,1,64,16,36,64,36,0,0,0.785214,25.8423
36,1,128,16,36,128,36,0,0,1.0355,23.6351
37,1,1,16,37,1,37,0,0,0.914782,23.9242
37,1,16,16,37,16,37,0,0,0.927749,28.9965
37,1,32,16,37,32,37,0,0,1.01193,27.9915
37,1,64,16,37,64,37,0,0,0.94047,26.6717
37,1,128,16,37,128,37,0,0,0.937103,23.2137
38,1,1,16,38,1,38,0,0,0.91417,24.5419
38,1,16,16,38,16,38,0,0,0.92932,30.0844
38,1,32,16,38,32,38,0,0,1.00893,28.9241
38,1,64,16,38,64,38,0,0,0.943873,27.219
38,1,128,16,38,128,38,0,0,0.964203,23.8559
39,1,1,16,39,1,39,0,0,0.739758,23.8282
39,1,16,16,39,16,39,0,0,0.932281,28.0897
39,1,32,16,39,32,39,0,0,1.01212,27.2121
39,1,64,16,39,64,39,0,0,0.944845,25.1403
39,1,128,16,39,128,39,0,0,1.039,21.9117
40,1,1,16,40,1,40,0,0,0.944987,27.0903
40,1,16,16,40,16,40,0,0,1.02259,32.9184
40,1,32,16,40,32,40,0,0,1.01991,31.1924
40,1,64,16,40,64,40,0,0,0.882587,26.4883
40,1,128,16,40,128,40,0,0,1.02203,24.6309
41,1,1,16,41,1,41,0,0,0.678246,25.792
41,1,16,16,41,16,41,0,0,1.03729,31.1342
41,1,32,16,41,32,41,0,0,1.02165,30.7248
41,1,64,16,41,64,41,0,0,1.03188,28.0995
41,1,128,16,41,128,41,0,0,0.837689,23.62
42,1,1,16,42,1,42,0,0,0.761948,26.485
42,1,16,16,42,16,42,0,0,0.938954,32.5221
42,1,32,16,42,32,42,0,0,1.03074,31.4909
42,1,64,16,42,64,42,0,0,1.05593,28.5825
42,1,128,16,42,128,42,0,0,1.00121,24.158
43,1,1,16,43,1,43,0,0,1.00921,25.2022
43,1,16,16,43,16,43,0,0,0.945311,30.5439
43,1,32,16,43,32,43,0,0,1.02083,29.7472
43,1,64,16,43,64,43,0,0,0.944859,26.6607
43,1,128,16,43,128,43,0,0,1.02877,23.2795
44,1,1,16,44,1,44,0,0,0.732697,28.8539
44,1,16,16,44,16,44,0,0,1.03319,35.8446
44,1,32,16,44,32,44,0,0,0.922781,34.1634
44,1,64,16,44,64,44,0,0,0.874171,27.7978
44,1,128,16,44,128,44,0,0,1.02019,25.2065
45,1,1,16,45,1,45,0,0,0.971678,27.3427
45,1,16,16,45,16,45,0,0,0.943927,33.8586
45,1,32,16,45,32,45,0,0,0.939594,33.063
45,1,64,16,45,64,45,0,0,1.00159,27.0956
45,1,128,16,45,128,45,0,0,1.01697,23.4366
46,1,1,16,46,1,46,0,0,0.973833,27.8884
46,1,16,16,46,16,46,0,0,0.94924,35.2335
46,1,32,16,46,32,46,0,0,1.03357,34.1812
46,1,64,16,46,64,46,0,0,0.957063,29.0581
46,1,128,16,46,128,46,0,0,0.994212,24.3613
47,1,1,16,47,1,47,0,0,0.975002,26.4137
47,1,16,16,47,16,47,0,0,0.935821,32.6531
47,1,32,16,47,32,47,0,0,1.02339,31.8834
47,1,64,16,47,64,47,0,0,0.965258,27.8938
47,1,128,16,47,128,47,0,0,0.889741,24.2766
48,1,1,16,48,1,48,0,0,1.01493,30.268
48,1,16,16,48,16,48,0,0,0.945243,38.518
48,1,32,16,48,32,48,0,0,0.918203,34.9121
48,1,64,16,48,64,48,0,0,0.807036,28.4102
48,1,128,16,48,128,48,0,0,0.914922,28.5723
49,1,1,16,49,1,49,0,0,0.725002,23.6108
49,1,16,16,49,16,49,0,0,0.917322,28.7886
49,1,32,16,49,32,49,0,0,1.01734,27.7848
49,1,64,16,49,64,49,0,0,1.04411,24.4348
49,1,128,16,49,128,49,0,0,0.937405,20.9391
50,1,1,16,50,1,50,0,0,0.997395,24.0868
50,1,16,16,50,16,50,0,0,0.936044,29.8376
50,1,32,16,50,32,50,0,0,0.923092,27.1664
50,1,64,16,50,64,50,0,0,1.03216,24.0508
50,1,128,16,50,128,50,0,0,0.687553,19.9741
51,1,1,16,51,1,51,0,0,0.977005,23.5601
51,1,16,16,51,16,51,0,0,1.03943,30.2959
51,1,32,16,51,32,51,0,0,1.02199,28.8555
51,1,64,16,51,64,51,0,0,1.04863,23.6443
51,1,128,16,51,128,51,0,0,0.922547,19.3325
52,1,1,16,52,1,52,0,0,1.00111,24.9573
52,1,16,16,52,16,52,0,0,0.943018,31.8115
52,1,32,16,52,32,52,0,0,1.01332,28.4043
52,1,64,16,52,64,52,0,0,0.863423,22.4936
52,1,128,16,52,128,52,0,0,0.768024,20.8448
53,1,1,16,53,1,53,0,0,1.04013,24.4462
53,1,16,16,53,16,53,0,0,1.04782,30.619
53,1,32,16,53,32,53,0,0,0.931754,29.8076
53,1,64,16,53,64,53,0,0,1.03724,23.5377
53,1,128,16,53,128,53,0,0,0.969422,20.5521
54,1,1,16,54,1,54,0,0,1.03748,25.0086
54,1,16,16,54,16,54,0,0,0.9454,31.1944
54,1,32,16,54,32,54,0,0,0.933169,29.0813
54,1,64,16,54,64,54,0,0,1.05215,25.1261
54,1,128,16,54,128,54,0,0,0.877845,20.7589
55,1,1,16,55,1,55,0,0,0.725288,24.242
55,1,16,16,55,16,55,0,0,1.04474,29.9489
55,1,32,16,55,32,55,0,0,1.02602,28.9528
55,1,64,16,55,64,55,0,0,0.988916,23.6474
55,1,128,16,55,128,55,0,0,0.941989,20.8032
56,1,1,16,56,1,56,0,0,1.00833,26.6446
56,1,16,16,56,16,56,0,0,1.0412,34.2421
56,1,32,16,56,32,56,0,0,0.96142,30.3274
56,1,64,16,56,64,56,0,0,0.909208,23.9888
56,1,128,16,56,128,56,0,0,0.941759,21.5776
57,1,1,16,57,1,57,0,0,0.999105,25.7858
57,1,16,16,57,16,57,0,0,0.945195,32.6455
57,1,32,16,57,32,57,0,0,1.0392,31.4958
57,1,64,16,57,64,57,0,0,0.933795,24.9192
57,1,128,16,57,128,57,0,0,0.977659,20.8792
58,1,1,16,58,1,58,0,0,1.00242,26.1514
58,1,16,16,58,16,58,0,0,1.04806,33.6631
58,1,32,16,58,32,58,0,0,1.0342,31.0421
58,1,64,16,58,64,58,0,0,1.05627,25.271
58,1,128,16,58,128,58,0,0,0.839044,21.4839
59,1,1,16,59,1,59,0,0,1.06146,25.1227
59,1,16,16,59,16,59,0,0,0.764052,32.2747
59,1,32,16,59,32,59,0,0,1.03874,30.9509
59,1,64,16,59,64,59,0,0,1.06459,23.7077
59,1,128,16,59,128,59,0,0,0.980211,20.982
60,1,1,16,60,1,60,0,0,1.03769,27.74
60,1,16,16,60,16,60,0,0,0.944084,36.4915
60,1,32,16,60,32,60,0,0,1.02397,32.3598
60,1,64,16,60,64,60,0,0,0.895496,26.5585
60,1,128,16,60,128,60,0,0,0.987157,25.2535
61,1,1,16,61,1,61,0,0,1.03228,26.6707
61,1,16,16,61,16,61,0,0,1.05227,34.5768
61,1,32,16,61,32,61,0,0,0.946291,33.5651
61,1,64,16,61,64,61,0,0,0.943091,24.1943
61,1,128,16,61,128,61,0,0,1.05882,20.3718
62,1,1,16,62,1,62,0,0,1.03425,27.0947
62,1,16,16,62,16,62,0,0,0.951395,35.7465
62,1,32,16,62,32,62,0,0,0.957662,33.0087
62,1,64,16,62,64,62,0,0,0.967569,26.0726
62,1,128,16,62,128,62,0,0,1.01157,21.6651
63,1,1,16,63,1,63,0,0,0.973713,26.1417
63,1,16,16,63,16,63,0,0,0.957519,34.1135
63,1,32,16,63,32,63,0,0,1.03495,32.6626
63,1,64,16,63,64,63,0,0,0.957196,20.3716
63,1,128,16,63,128,63,0,0,0.769237,18.8414
64,1,1,16,64,1,64,0,0,0.740775,28.8588
