M,N,K,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
31,1,1,31,1,31,0,0,0.823375,12.048
31,1,16,31,16,31,0,0,1.3934,42.6303
31,1,32,31,32,31,0,0,1.51528,36.9868
31,1,64,31,64,31,0,0,1.48649,34.6223
31,1,128,31,128,31,0,0,1.82723,33.629
32,1,1,32,1,32,0,0,0.602637,12.7186
32,1,16,32,16,32,0,0,1.18278,51.9974
32,1,32,32,32,32,0,0,1.33858,48.9593
32,1,64,32,64,32,0,0,1.43337,37.0876
32,1,128,32,128,32,0,0,1.83763,42.8029
33,1,1,33,1,33,0,0,0.867256,12.1763
33,1,16,33,16,33,0,0,1.39586,40.3479
33,1,32,33,32,33,0,0,1.7162,34.7634
33,1,64,33,64,33,0,0,1.43714,25.1857
33,1,128,33,128,33,0,0,1.67348,27.852
34,1,1,34,1,34,0,0,0.633658,12.8519
34,1,16,34,16,34,0,0,1.3677,42.4265
34,1,32,34,32,34,0,0,1.43164,38.3822
34,1,64,34,64,34,0,0,1.42047,26.7463
34,1,128,34,128,34,0,0,1.81842,31.0513
35,1,1,35,1,35,0,0,0.877981,12.7565
35,1,16,35,16,35,0,0,1.67965,39.9286
35,1,32,35,32,35,0,0,1.6773,35.6128
35,1,64,35,64,35,0,0,1.43049,31.9733
35,1,128,35,128,35,0,0,1.83535,29.2943
36,1,1,36,1,36,0,0,0.867577,13.2784
36,1,16,36,16,36,0,0,1.54656,44.7375
36,1,32,36,32,36,0,0,1.43342,40.5896
36,1,64,36,64,36,0,0,1.83143,35.5376
36,1,128,36,128,36,0,0,1.47774,32.8932
37,1,1,37,1,37,0,0,0.8792,13.4668
37,1,16,37,16,37,0,0,1.33664,42.4846
37,1,32,37,32,37,0,0,1.44255,37.5209
37,1,64,37,64,37,0,0,1.84296,32.4672
37,1,128,37,128,37,0,0,1.84168,30.4778
38,1,1,38,1,38,0,0,0.6584,13.8241
38,1,16,38,16,38,0,0,1.34875,43.2411
38,1,32,38,32,38,0,0,1.36027,38.9941
38,1,64,38,64,38,0,0,1.84276,35.1937
38,1,128,38,128,38,0,0,1.85986,33.0417
39,1,1,39,1,39,0,0,0.916185,13.6217
39,1,16,39,16,39,0,0,1.32568,41.0198
39,1,32,39,32,39,0,0,1.426,35.0071
39,1,64,39,64,39,0,0,1.45797,32.2254
39,1,128,39,128,39,0,0,1.84432,30.5667
40,1,1,40,1,40,0,0,0.876687,14.6004
40,1,16,40,16,40,0,0,1.5907,48.3289
40,1,32,40,32,40,0,0,1.5465,44.1427
40,1,64,40,64,40,0,0,1.84089,39.2834
40,1,128,40,128,40,0,0,1.85676,36.2589
41,1,1,41,1,41,0,0,1.35339,14.4258
41,1,16,41,16,41,0,0,1.26578,45.2628
41,1,32,41,32,41,0,0,1.87506,39.5318
41,1,64,41,64,41,0,0,1.85752,35.6952
41,1,128,41,128,41,0,0,1.8359,33.4626
42,1,1,42,1,42,0,0,0.912261,14.7326
42,1,16,42,16,42,0,0,1.29892,45.1835
42,1,32,42,32,42,0,0,1.45508,40.3345
42,1,64,42,64,42,0,0,1.8333,37.0488
42,1,128,42,128,42,0,0,1.84665,34.5033
43,1,1,43,1,43,0,0,0.914695,15.0433
43,1,16,43,16,43,0,0,1.30582,42.1498
43,1,32,43,32,43,0,0,1.48965,36.9483
43,1,64,43,64,43,0,0,1.48932,32.8501
43,1,128,43,128,43,0,0,1.48949,33.1485
44,1,1,44,1,44,0,0,0.915118,15.386
44,1,16,44,16,44,0,0,1.34219,50.3134
44,1,32,44,32,44,0,0,1.44401,42.5326
44,1,64,44,64,44,0,0,1.80977,42.6885
44,1,128,44,128,44,0,0,1.84683,39.5659
45,1,1,45,1,45,0,0,0.950216,15.1545
45,1,16,45,16,45,0,0,1.52209,45.3749
45,1,32,45,32,45,0,0,1.75289,35.8343
45,1,64,45,64,45,0,0,1.88411,30.5714
45,1,128,45,128,45,0,0,1.82566,36.0574
46,1,1,46,1,46,0,0,0.688054,16.0132
46,1,16,46,16,46,0,0,1.38234,46.3993
46,1,32,46,32,46,0,0,1.43955,36.357
46,1,64,46,64,46,0,0,1.48924,39.5369
46,1,128,46,128,46,0,0,1.84337,35.6489
47,1,1,47,1,47,0,0,0.714828,15.7485
47,1,16,47,16,47,0,0,1.41792,42.4284
47,1,32,47,32,47,0,0,1.48516,38.8747
